dim_routes_sk,route_id,origin_city,origin_state,origin_region,destination_city,destination_state,destination_region,typical_distance_miles,typical_transit_days,base_rate_per_mile,fuel_surcharge_rate,etl_loaded_at
1,RTE00001,Atlanta,GA,South,Chicago,IL,Midwest,677,1,1.7,0.19,2026-05-30T08:34:13
2,RTE00002,Atlanta,GA,South,Miami,FL,South,697,1,2.08,0.22,2026-05-30T08:34:13
3,RTE00003,Chicago,IL,Midwest,Los Angeles,CA,West,2003,3,2.55,0.29,2026-05-30T08:34:13
4,RTE00004,Chicago,IL,Midwest,Portland,OR,West,2017,3,1.84,0.19,2026-05-30T08:34:13
5,RTE00005,Chicago,IL,Midwest,Las Vegas,NV,West,1749,3,2.41,0.26,2026-05-30T08:34:13
6,RTE00006,Chicago,IL,Midwest,Charlotte,NC,South,675,1,2.13,0.28,2026-05-30T08:34:13
7,RTE00007,Dallas,TX,South,New York,NY,Northeast,1576,2,2.54,0.32,2026-05-30T08:34:13
8,RTE00008,Dallas,TX,South,Denver,CO,West,762,1,2.62,0.15,2026-05-30T08:34:13
9,RTE00009,Dallas,TX,South,Indianapolis,IN,Midwest,878,1,1.95,0.17,2026-05-30T08:34:13
10,RTE00010,New York,NY,Northeast,Philadelphia,PA,Northeast,92,1,1.61,0.17,2026-05-30T08:34:13
11,RTE00011,New York,NY,Northeast,Columbus,OH,Midwest,547,1,1.69,0.24,2026-05-30T08:34:13
12,RTE00012,Phoenix,AZ,West,Philadelphia,PA,Northeast,2389,4,2.71,0.19,2026-05-30T08:34:13
13,RTE00013,Phoenix,AZ,West,Denver,CO,West,673,1,1.7,0.21,2026-05-30T08:34:13
14,RTE00014,Phoenix,AZ,West,Kansas City,MO,Midwest,1204,2,2.14,0.19,2026-05-30T08:34:13
15,RTE00015,Philadelphia,PA,Northeast,New York,NY,Northeast,92,1,2.79,0.15,2026-05-30T08:34:13
16,RTE00016,Philadelphia,PA,Northeast,Seattle,WA,West,2729,4,2.5,0.17,2026-05-30T08:34:13
17,RTE00017,Philadelphia,PA,Northeast,Minneapolis,MN,Midwest,1130,1,1.81,0.34,2026-05-30T08:34:13
